                  Temp     Hi    Low   Out    Dew  Wind  Wind   Wind    Hi    Hi   Wind   Heat    THW   THSW                Rain  Solar   Solar Hi Solar   UV    UV    Hi     Heat    Cool    In     In    In     In           Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir    Run Speed   Dir  Chill  Index  Index  Index   Bar    Rain  Rate   Rad.  Energy    Rad.  Index  Dose   UV     D-D     D-D    Temp   Hum    Dew   Heat     ET   Samp   Tx   Recept  Int.
17/07/14  5:00a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.0  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.3    69   18.3   25.3    0.00     0    1      0.0    5 
17/07/14  5:05a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.0  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.3    69   18.2   25.2    0.00     0    1      0.0    5 
17/07/14  5:10a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.0  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.4    69   18.4   25.4    0.00     0    1      0.0    5 
17/07/14  5:15a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.0  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.3    69   18.3   25.3    0.00     0    1      0.0    5 
17/07/14  5:20a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.0  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.2    69   18.2   25.2    0.00     0    1      0.0    5 
17/07/14  5:25a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.0  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.3    69   18.3   25.3    0.00     0    1      0.0    5 
17/07/14  5:30a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.0  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.2    69   18.2   25.2    0.00     0    1      0.0    5 
17/07/14  5:35a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.2  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.2    69   18.2   25.2    0.00     0    1      0.0    5 
17/07/14  5:40a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.2  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.3    69   18.2   25.2    0.00     0    1      0.0    5 
17/07/14  5:45a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.2  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.3    68   18.0   25.2    0.00     0    1      0.0    5 
17/07/14  5:50a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.1  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.2    69   18.2   25.2    0.00     0    1      0.0    5 
17/07/14  5:55a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.2  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.2    68   17.9   25.1    0.00     0    1      0.0    5 
17/07/14  6:00a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.2  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.2    68   17.9   25.1    0.00     0    1      0.0    5 
17/07/14  6:05a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.2  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.2    69   18.1   25.1    0.00     0    1      0.0    5 
17/07/14  6:10a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.2  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.2    69   18.1   25.1    0.00     0    1      0.0    5 
17/07/14  6:15a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.2  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.2    68   17.9   25.1    0.00     0    1      0.0    5 
17/07/14  6:20a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.2  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.2    69   18.1   25.1    0.00     0    1      0.0    5 
17/07/14  6:25a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.2  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.1    69   18.1   25.0    0.00     0    1      0.0    5 
